person,admit,role,top100u,comp-rel-maj,worked-it-consult,worked-in-house,mbti.e,mbti.n,mbti.t,mbti.j,MBTI
2051,0,PM,0,1,0,1,0,1,0,0,INFP
2052,0,PM,1,1,1,1,1,0,0,1,ESFJ
2053,0,PM,0,0,0,0,1,1,0,0,ENFP
2054,0,PM,0,1,1,1,0,1,0,0,INFP
2055,0,PM,0,1,0,1,0,0,0,1,ISFJ
2056,0,PM,0,0,0,1,1,0,0,0,ESFP
2057,0,PM,0,0,0,0,0,1,1,1,INTJ
2058,0,PM,0,0,0,1,1,0,0,0,ESFP
2059,0,PM,0,1,0,0,0,0,1,0,ISTP
2060,0,PM,1,1,0,1,0,0,0,1,ISFJ
2061,0,PM,0,0,0,0,0,0,1,1,ISTJ
2062,0,PM,0,0,0,1,1,0,0,1,ESFJ
2063,0,PM,0,0,0,1,1,0,0,0,ESFP
2064,0,PM,0,0,0,0,1,0,1,1,ESTJ
2065,0,PM,0,1,0,0,0,0,0,0,ISFP
2066,0,PM,0,1,0,1,0,0,0,1,ISFJ
2067,0,PM,0,1,1,0,1,0,1,0,ESTP
2068,0,PM,1,1,0,0,1,0,1,1,ESTJ
2069,0,PM,0,1,0,1,1,0,1,0,ESTP
2070,0,PM,0,1,0,1,0,0,1,1,ISTJ
2071,0,PM,0,1,0,0,0,0,0,0,ISFP
2072,0,PM,0,1,0,1,1,0,1,1,ESTJ
2073,0,PM,0,1,1,0,0,0,1,0,ISTP
2074,0,PM,0,1,0,0,0,0,0,1,ISFJ
2075,0,PM,0,1,0,1,1,0,1,1,ESTJ
2076,0,PM,0,1,0,1,1,1,0,0,ENFP
2077,0,PM,1,1,0,1,0,0,0,1,ISFJ
2078,0,PM,0,0,0,1,0,0,1,1,ISTJ
2079,0,PM,0,1,0,0,0,0,1,1,ISTJ
2080,0,PM,0,0,0,0,0,1,0,0,INFP
2081,0,PM,0,1,0,1,1,0,0,1,ESFJ
2082,0,PM,0,1,1,0,1,1,1,1,ENTJ
2083,0,PM,0,0,0,1,0,1,1,0,INTP
2084,0,PM,0,1,0,1,1,0,0,1,ESFJ
2085,0,PM,1,1,0,0,0,0,1,0,ISTP
2086,0,PM,1,1,0,1,0,1,1,0,INTP
2087,0,PM,1,0,1,1,1,1,1,1,ENTJ
2088,0,PM,0,1,0,1,1,0,0,1,ESFJ
2089,0,PM,0,1,0,0,0,0,1,0,ISTP
2090,0,PM,0,0,0,1,0,0,0,0,ISFP
2091,0,PM,0,1,0,1,0,0,1,1,ISTJ
1004,1,PM,1,1,0,0,1,0,0,0,ESFP
1005,1,PM,1,1,1,1,1,1,0,1,ENFJ
1006,1,PM,1,1,1,1,0,0,1,0,ISTP
1007,1,PM,1,1,1,0,1,1,0,1,ENFJ
1008,1,PM,0,1,0,0,1,1,1,1,ENTJ
1009,1,PM,1,1,1,1,0,1,1,1,INTJ
1010,1,PM,1,1,1,0,0,1,0,1,INFJ
1011,1,PM,1,1,1,1,0,1,1,0,INTP
1012,1,PM,1,0,1,1,0,1,1,1,INTJ
1013,1,PM,0,1,1,1,0,1,1,1,INTJ
1014,1,PM,1,1,1,1,0,1,0,0,INFP
1015,1,PM,0,1,0,1,0,1,0,0,INFP
1016,1,PM,1,0,0,0,1,0,1,1,ESTJ
1017,1,PM,1,1,0,1,0,0,1,0,ISTP
1018,1,PM,0,1,0,0,1,0,1,1,ESTJ
1019,1,PM,0,0,1,1,1,0,0,1,ESFJ
1020,1,PM,1,0,1,1,1,1,1,1,ENTJ
1021,1,PM,0,1,1,1,1,1,0,0,ENFP
1022,1,PM,1,1,1,1,0,0,0,1,ISFJ
1023,1,PM,1,1,0,0,0,0,0,1,ISFJ
1024,1,PM,1,1,0,1,0,0,0,0,ISFP
1025,1,PM,0,1,0,0,0,1,0,0,INFP
1026,0,PM,1,1,1,0,0,0,1,0,ISTP
1027,0,PM,0,0,0,1,0,1,0,0,INFP
1028,0,PM,1,1,1,1,1,0,0,1,ESFJ
1029,0,PM,0,1,0,1,0,1,0,0,INFP
1030,0,PM,0,1,0,1,0,1,0,0,INFP
1031,0,PM,0,1,0,1,1,0,1,1,ESTJ
1032,0,PM,0,1,1,0,0,0,0,1,ISFJ
1033,0,PM,0,1,0,0,0,0,1,1,ISTJ
1034,0,PM,0,1,0,0,0,0,0,1,ISFJ
1035,0,PM,1,0,0,1,1,0,1,1,ESTJ
1036,0,PM,0,0,1,0,1,0,1,0,ESTP
1037,0,PM,0,1,1,1,0,1,1,1,INTJ
1038,0,PM,0,0,1,0,0,0,1,0,ISTP
1039,0,PM,0,1,0,1,1,1,0,0,ENFP
1040,0,PM,0,0,1,1,1,0,1,1,ESTJ
1041,0,PM,1,1,0,0,0,0,1,1,ISTJ
1042,0,PM,1,1,1,0,0,0,0,1,ISFJ
1043,0,PM,0,0,0,1,0,1,1,1,INTJ
1044,0,PM,0,1,0,0,1,0,1,1,ESTJ
1045,0,PM,0,0,0,1,0,1,1,0,INTP
1046,0,PM,1,0,0,1,1,0,0,1,ESFJ
1047,0,PM,0,1,0,1,1,0,1,0,ESTP
1048,0,PM,0,0,0,1,1,0,0,0,ESFP
1049,0,PM,1,1,0,0,0,1,0,0,INFP
1050,0,PM,0,1,0,1,1,0,0,1,ESFJ
1051,0,PM,0,1,1,0,0,0,1,1,ISTJ
1052,0,PM,0,1,0,0,1,0,0,1,ESFJ
1053,0,PM,0,1,0,1,1,0,0,0,ESFP
1054,0,PM,1,1,0,1,0,1,1,0,INTP
1055,0,PM,0,1,0,1,0,0,0,0,ISFP
1056,0,PM,1,1,0,1,1,0,0,1,ESFJ
1057,0,PM,1,1,0,0,1,0,0,1,ESFJ
1058,0,PM,0,1,0,1,0,0,0,1,ISFJ
1059,0,PM,1,1,0,0,1,0,1,0,ESTP
1060,0,PM,0,1,0,0,1,0,0,1,ESFJ
1061,0,PM,1,1,0,1,1,1,0,0,ENFP
1062,0,PM,0,0,0,1,0,0,1,1,ISTJ
1063,0,PM,1,1,1,1,0,0,0,0,ISFP
1064,0,PM,1,1,1,0,1,0,0,0,ESFP
1065,0,PM,0,1,0,1,1,0,0,1,ESFJ
1066,0,PM,1,1,0,1,0,1,0,0,INFP
1067,0,PM,1,0,0,1,0,0,1,0,ISTP
1068,0,PM,0,1,0,1,0,1,0,0,INFP
1069,0,PM,0,1,0,1,0,1,0,0,INFP
1070,0,PM,1,1,0,0,0,0,1,0,ISTP
1071,0,PM,0,1,0,0,1,0,1,0,ESTP
1072,0,PM,0,0,0,1,0,0,0,1,ISFJ
1073,0,PM,1,1,0,1,1,1,1,0,ENTP
1074,0,PM,0,0,0,1,1,0,0,0,ESFP
1075,0,PM,0,1,0,1,1,1,1,0,ENTP
1076,0,PM,0,0,0,1,0,0,1,1,ISTJ
1077,0,PM,0,0,0,1,0,0,0,1,ISFJ
1078,0,PM,0,1,0,1,1,1,0,0,ENFP
1079,0,PM,1,0,0,1,0,0,1,1,ISTJ
1080,0,PM,0,1,0,0,0,1,1,0,INTP
1081,0,PM,1,1,1,0,0,0,1,1,ISTJ
1082,0,PM,0,1,1,1,1,0,0,1,ESFJ
1083,0,PM,0,1,0,0,1,1,0,1,ENFJ
1084,0,PM,0,1,1,1,0,0,1,1,ISTJ
1085,0,PM,0,0,0,0,1,0,0,1,ESFJ
1086,0,PM,1,0,1,0,1,0,1,1,ESTJ
1087,0,PM,1,0,0,1,0,0,1,1,ISTJ
1088,0,PM,0,1,1,1,1,0,0,0,ESFP
1089,0,PM,0,1,0,1,1,0,0,1,ESFJ
1090,0,PM,0,1,0,0,1,0,1,1,ESTJ
1091,0,PM,0,1,0,1,1,0,0,0,ESFP
