person,admit,role,top100u,comp-rel-maj,worked-it-consult,worked-in-house,mbti.e,mbti.n,mbti.t,mbti.j,MBTI
1163,0,Dev,0,1,0,1,0,0,1,1,ISTJ
1164,0,Dev,1,1,0,0,1,0,1,1,ESTJ
1165,0,Dev,0,1,1,1,1,0,1,1,ESTJ
1166,0,Dev,0,1,0,0,0,0,1,1,ISTJ
1167,0,Dev,0,1,1,1,0,0,0,1,ISFJ
1168,0,Dev,1,1,0,1,0,0,0,0,ISFP
1169,0,Dev,0,0,0,1,1,0,0,0,ESFP
1170,0,Dev,0,1,0,1,1,1,1,0,ENTP
1171,0,Dev,1,1,0,1,0,1,0,1,INFJ
1172,0,Dev,0,1,0,1,0,0,0,1,ISFJ
1173,0,Dev,1,1,0,1,1,1,1,0,ENTP
1174,0,Dev,0,1,0,0,1,0,1,1,ESTJ
1175,0,Dev,1,1,0,0,0,0,0,1,ISFJ
1176,0,Dev,1,1,0,0,0,0,0,1,ISFJ
1177,0,Dev,0,0,0,1,1,0,0,1,ESFJ
1178,0,Dev,0,0,0,1,0,0,1,1,ISTJ
1179,0,Dev,1,0,0,0,0,1,1,0,INTP
1180,0,Dev,0,1,1,1,0,0,0,1,ISFJ
1181,0,Dev,0,1,0,1,0,0,1,0,ISTP
1182,0,Dev,0,0,1,1,1,0,1,1,ESTJ
1183,0,Dev,0,0,0,0,0,0,0,1,ISFJ
1184,0,Dev,1,1,0,0,1,0,1,1,ESTJ
1185,0,Dev,0,1,0,1,0,0,0,0,ISFP
1186,0,Dev,0,1,1,1,1,0,0,0,ESFP
1187,0,Dev,0,1,0,0,1,1,0,0,ENFP
1188,0,Dev,0,0,0,0,1,0,0,0,ESFP
1189,0,Dev,1,1,0,1,0,0,0,1,ISFJ
1190,0,Dev,0,1,0,0,1,0,0,1,ESFJ
1191,0,Dev,1,1,0,1,0,0,1,1,ISTJ
